Campus,Group,School / Department,Level,Date,Number of Registrations,Month,Year,Main Level
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Sep 2022,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Sep 2022,5.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Sep 2022,6.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Sep 2022,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Sep 2022,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Sep 2022,4.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Sep 2022,14.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Sep 2022,29.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Sep 2022,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Visiting Students Non Degree,Sep 2022,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Sep 2022,3.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Sep 2022,10.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Visiting Students Non Degree,Sep 2022,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2022,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2022,4.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Research,Sep 2022,10.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Taught,Sep 2022,12.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Sep 2022,3.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Sep 2022,21.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Sep 2022,42.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Sep 2022,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Sep 2022,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Sep 2022,1.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Sep 2022,12.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Sep 2022,21.0,Sep,2022,Undergraduate Degree
